# RDT Density Profile for M = 1.4 M_sun
# EOS: SLy4, α = 0.3
# M_total = 1.400000 M_sun
# R_total = 13.638666 km
# Columns: r (km), P (dyne/cm²), m (M_sun), rho (g/cm³)
4.947729e+00 3.668499e+34 1.376585e-01 4.421992e+14
4.975059e+00 3.656507e+34 1.398260e-01 4.416166e+14
5.002389e+00 3.644471e+34 1.420140e-01 4.410306e+14
5.029719e+00 3.632389e+34 1.442225e-01 4.404413e+14
5.057049e+00 3.620264e+34 1.464515e-01 4.398486e+14
5.084379e+00 3.608094e+34 1.487011e-01 4.392525e+14
5.111709e+00 3.595881e+34 1.509714e-01 4.386530e+14
5.139039e+00 3.583625e+34 1.532623e-01 4.380502e+14
5.166369e+00 3.571325e+34 1.555739e-01 4.374439e+14
5.193699e+00 3.558983e+34 1.579061e-01 4.368342e+14
5.221029e+00 3.546599e+34 1.602592e-01 4.362212e+14
5.248359e+00 3.534173e+34 1.626329e-01 4.356047e+14
5.275689e+00 3.521706e+34 1.650275e-01 4.349848e+14
5.303019e+00 3.509197e+34 1.674429e-01 4.343615e+14
5.330349e+00 3.496647e+34 1.698792e-01 4.337348e+14
5.357679e+00 3.484057e+34 1.723363e-01 4.331047e+14
5.385009e+00 3.471426e+34 1.748142e-01 4.324711e+14
5.412339e+00 3.458756e+34 1.773131e-01 4.318341e+14
5.439669e+00 3.446046e+34 1.798329e-01 4.311937e+14
5.466999e+00 3.433297e+34 1.823736e-01 4.305498e+14
5.494329e+00 3.420509e+34 1.849353e-01 4.299025e+14
5.521659e+00 3.407683e+34 1.875180e-01 4.292517e+14
5.548989e+00 3.394819e+34 1.901216e-01 4.285975e+14
5.576319e+00 3.381917e+34 1.927463e-01 4.279398e+14
5.603649e+00 3.368978e+34 1.953919e-01 4.272787e+14
5.630979e+00 3.356001e+34 1.980585e-01 4.266140e+14
5.658308e+00 3.342988e+34 2.007462e-01 4.259459e+14
5.685638e+00 3.329939e+34 2.034549e-01 4.252744e+14
5.712968e+00 3.316854e+34 2.061846e-01 4.245993e+14
5.740298e+00 3.303733e+34 2.089353e-01 4.239208e+14
5.767628e+00 3.290577e+34 2.117071e-01 4.232388e+14
5.794958e+00 3.277386e+34 2.144999e-01 4.225532e+14
5.822288e+00 3.264161e+34 2.173138e-01 4.218642e+14
5.849618e+00 3.250901e+34 2.201486e-01 4.211717e+14
5.876948e+00 3.237608e+34 2.230045e-01 4.204756e+14
5.904278e+00 3.224282e+34 2.258815e-01 4.197760e+14
5.931608e+00 3.210922e+34 2.287794e-01 4.190729e+14
5.958938e+00 3.197530e+34 2.316984e-01 4.183663e+14
5.986268e+00 3.184106e+34 2.346384e-01 4.176561e+14
6.013598e+00 3.170650e+34 2.375993e-01 4.169424e+14
6.040928e+00 3.157162e+34 2.405813e-01 4.162251e+14
6.068258e+00 3.143643e+34 2.435842e-01 4.155043e+14
