# GR Density Profile for M = 1.4 M_sun
# EOS: SLy4
# M_total = 1.400000 M_sun
# R_total = 13.373536 km
# Columns: r (km), P (dyne/cm²), m (M_sun), rho (g/cm³)
4.315586e+00 5.154013e+34 1.080346e-01 5.068235e+14
4.342384e+00 5.135319e+34 1.099448e-01 5.060878e+14
4.369183e+00 5.116559e+34 1.118752e-01 5.053478e+14
4.395982e+00 5.097734e+34 1.138259e-01 5.046036e+14
4.422780e+00 5.078844e+34 1.157969e-01 5.038551e+14
4.449579e+00 5.059891e+34 1.177883e-01 5.031023e+14
4.476378e+00 5.040876e+34 1.198000e-01 5.023453e+14
4.503176e+00 5.021799e+34 1.218322e-01 5.015841e+14
4.529975e+00 5.002661e+34 1.238849e-01 5.008186e+14
4.556774e+00 4.983463e+34 1.259581e-01 5.000489e+14
4.583572e+00 4.964206e+34 1.280518e-01 4.992749e+14
4.610371e+00 4.944890e+34 1.301661e-01 4.984967e+14
4.637170e+00 4.925517e+34 1.323009e-01 4.977144e+14
4.663968e+00 4.906087e+34 1.344564e-01 4.969278e+14
4.690767e+00 4.886601e+34 1.366326e-01 4.961370e+14
4.717566e+00 4.867060e+34 1.388294e-01 4.953420e+14
4.744365e+00 4.847466e+34 1.410470e-01 4.945428e+14
4.771163e+00 4.827818e+34 1.432852e-01 4.937394e+14
4.797962e+00 4.808117e+34 1.455443e-01 4.929319e+14
4.824761e+00 4.788365e+34 1.478241e-01 4.921201e+14
4.851559e+00 4.768563e+34 1.501246e-01 4.913042e+14
4.878358e+00 4.748710e+34 1.524460e-01 4.904842e+14
4.905157e+00 4.728809e+34 1.547882e-01 4.896600e+14
4.931955e+00 4.708860e+34 1.571512e-01 4.888316e+14
4.958754e+00 4.688863e+34 1.595351e-01 4.879991e+14
4.985553e+00 4.668821e+34 1.619398e-01 4.871624e+14
5.012351e+00 4.648732e+34 1.643654e-01 4.863216e+14
5.039150e+00 4.628600e+34 1.668119e-01 4.854767e+14
5.065949e+00 4.608423e+34 1.692793e-01 4.846276e+14
5.092747e+00 4.588204e+34 1.717675e-01 4.837745e+14
5.119546e+00 4.567943e+34 1.742767e-01 4.829172e+14
5.146345e+00 4.547641e+34 1.768067e-01 4.820558e+14
5.173143e+00 4.527298e+34 1.793576e-01 4.811903e+14
5.199942e+00 4.506917e+34 1.819295e-01 4.803207e+14
5.226741e+00 4.486497e+34 1.845222e-01 4.794471e+14
5.253539e+00 4.466039e+34 1.871358e-01 4.785693e+14
5.280338e+00 4.445545e+34 1.897703e-01 4.776875e+14
5.307137e+00 4.425015e+34 1.924256e-01 4.768016e+14
5.333935e+00 4.404450e+34 1.951019e-01 4.759117e+14
5.360734e+00 4.383852e+34 1.977989e-01 4.750177e+14
5.387533e+00 4.363220e+34 2.005169e-01 4.741197e+14
5.414331e+00 4.342556e+34 2.032557e-01 4.732176e+14
5.441130e+00 4.321861e+34 2.060153e-01 4.723114e+14
5.467929e+00 4.301135e+34 2.087957e-01 4.714013e+14
5.494727e+00 4.280380e+34 2.115969e-01 4.704871e+14
5.521526e+00 4.259596e+34 2.144188e-01 4.695689e+14
5.548325e+00 4.238785e+34 2.172615e-01 4.686467e+14
5.575123e+00 4.217947e+34 2.201250e-01 4.677205e+14
5.601922e+00 4.197082e+34 2.230091e-01 4.667903e+14
5.628721e+00 4.176193e+34 2.259140e-01 4.658561e+14
5.655519e+00 4.155280e+34 2.288395e-01 4.649179e+14
5.682318e+00 4.134343e+34 2.317856e-01 4.639757e+14
5.709117e+00 4.113384e+34 2.347523e-01 4.630296e+14
5.735915e+00 4.092403e+34 2.377396e-01 4.620795e+14
5.762714e+00 4.071402e+34 2.407474e-01 4.611254e+14
5.789513e+00 4.050381e+34 2.437757e-01 4.601674e+14
5.816311e+00 4.029342e+34 2.468245e-01 4.592055e+14
5.843110e+00 4.008284e+34 2.498937e-01 4.582396e+14
5.869909e+00 3.987210e+34 2.529833e-01 4.572697e+14
5.896707e+00 3.966119e+34 2.560933e-01 4.562960e+14
5.923506e+00 3.945014e+34 2.592236e-01 4.553183e+14
5.950305e+00 3.923893e+34 2.623741e-01 4.543368e+14
5.977103e+00 3.902760e+34 2.655449e-01 4.533513e+14
6.003902e+00 3.881614e+34 2.687358e-01 4.523619e+14
6.030701e+00 3.860456e+34 2.719469e-01 4.513687e+14
6.057499e+00 3.839287e+34 2.751780e-01 4.503715e+14
6.084298e+00 3.818109e+34 2.784292e-01 4.493705e+14
6.111097e+00 3.796922e+34 2.817003e-01 4.483656e+14
6.137895e+00 3.775726e+34 2.849914e-01 4.473569e+14
6.164694e+00 3.754523e+34 2.883024e-01 4.463442e+14
6.191493e+00 3.733314e+34 2.916331e-01 4.453278e+14
6.218291e+00 3.712100e+34 2.949836e-01 4.443075e+14
6.245090e+00 3.690881e+34 2.983538e-01 4.432834e+14
6.271889e+00 3.669658e+34 3.017437e-01 4.422554e+14
6.298687e+00 3.648433e+34 3.051531e-01 4.412237e+14
6.325486e+00 3.627206e+34 3.085820e-01 4.401881e+14
6.352285e+00 3.605977e+34 3.120303e-01 4.391487e+14
6.379083e+00 3.584749e+34 3.154980e-01 4.381055e+14
6.405882e+00 3.563521e+34 3.189850e-01 4.370585e+14
6.432681e+00 3.542295e+34 3.224913e-01 4.360078e+14
6.459479e+00 3.521072e+34 3.260167e-01 4.349533e+14
6.486278e+00 3.499851e+34 3.295612e-01 4.338950e+14
6.513077e+00 3.478636e+34 3.331247e-01 4.328329e+14
6.539875e+00 3.457425e+34 3.367071e-01 4.317671e+14
6.566674e+00 3.436220e+34 3.403084e-01 4.306975e+14
6.593473e+00 3.415022e+34 3.439285e-01 4.296242e+14
6.620271e+00 3.393832e+34 3.475673e-01 4.285472e+14
6.647070e+00 3.372650e+34 3.512246e-01 4.274665e+14
6.673869e+00 3.351478e+34 3.549005e-01 4.263820e+14
